time,particles 03um,particles 05um,particles 10um,particles 25um,particles 50um,particles 100um,Temperature C,Gas Ohm,Humidity %%,Pressure hPa,Altitude meters
1772060190.226524,120,36,12,2,0,0,33.3919140625,103555,100,766.5663078336963,2292.2296779401804
1772060191.2373521,120,36,12,2,0,0,23.160859375,18560,59.2926071643672,1008.9902313709301,35.52600254998436
1772060192.2481737,132,40,12,2,0,0,23.1997265625,26490,59.183951999695445,1008.9836282778182,35.581165812982135
1772060193.2590265,132,40,12,2,0,0,23.2442578125,34218,59.015734577032376,1008.9749385184814,35.653761854410824
1772060194.2711742,132,40,12,2,0,0,23.2860546875,41689,58.81371817150834,1008.9711009647352,35.68582173090394
1772060195.2820058,120,34,8,2,0,0,23.326875,50684,58.61845150877514,1008.9712191445341,35.68483442605729
1772060196.2928476,120,34,8,2,0,0,23.363203125,57533,58.44280420430091,1008.973424432395,35.66641089358633
1772060197.3036053,120,34,8,2,0,0,23.3969921875,64244,58.28031727284372,1008.9734585911485,35.66612552297736
1772060198.3143854,150,42,8,2,0,0,23.4321484375,69845,58.1448853673418,1008.9738068321323,35.66321623279581
1772060199.325168,150,42,8,2,0,0,23.4735546875,74763,58.12402868249906,1008.9803253117938,35.60875941261738
1772060200.337222,150,42,8,2,0,0,23.508125,79555,58.16905504087745,1008.9760695771968,35.64431272800816
1772060201.348077,138,40,8,2,0,0,23.5403515625,84111,58.21376288380276,1008.9791253645062,35.61878401614428
1772060202.3588822,138,40,8,2,0,0,23.5716015625,88150,58.251656349887384,1008.9751340585827,35.652128266514815
1772060203.3696911,138,40,8,2,0,0,23.5973828125,92986,58.248638906961574,1008.9735349913386,35.665487257072556
1772060204.380452,144,42,6,0,0,0,23.6169140625,99802,58.16447109818385,1008.9694299651425,35.69978170710908
1772060205.3912277,144,42,6,0,0,0,23.631171875,103737,58.01943721502362,1008.9716986826631,35.680828240489845
1772060206.4033937,144,42,6,0,0,0,23.6415234375,107930,57.85392082411998,1008.973320188067,35.667281776332665
1772060207.4155116,150,44,6,0,0,0,23.6485546875,111551,57.674728644315145,1008.9660421663441,35.728084339142235
1772060208.4276245,150,44,6,0,0,0,23.65421875,114821,57.52882994131488,1008.929083882249,36.03684932548852
1772060209.4402623,150,44,6,0,0,0,23.6567578125,118368,57.38259767543014,1008.911060681843,36.18742601320058
1772060210.452332,150,44,6,0,0,0,23.654609375,120802,57.24912644664569,1008.904007279718,36.24635498211184
1772060211.463632,150,44,6,0,0,0,23.653046875,123252,57.109177875448346,1008.8978765761477,36.297575364132975
1772060212.474416,150,44,6,0,0,0,23.6466015625,126799,56.9619995039673,1008.8803868038474,36.44369910011714
1772060213.4851177,132,38,6,0,0,0,23.6387890625,128650,56.841309992812484,1008.8460637337276,36.73046781450507
1772060214.4959028,132,38,6,0,0,0,23.6282421875,131236,56.74023041729324,1008.8202810134067,36.94588723574419
1772060215.5066478,132,38,6,0,0,0,23.6159375,133321,56.652231278988694,1008.7825557603782,37.26109677133979
1772060216.5188267,120,36,6,0,0,0,23.601484375,135161,56.563975321861264,1008.7341086196689,37.665905954284376
1772060217.5309744,120,36,6,0,0,0,23.5868359375,136840,56.48899437650832,1008.7073743094361,37.889296244690634
1772060218.5419645,120,36,6,0,0,0,23.5716015625,139218,56.44710147955314,1008.6797177025634,38.12039823533901
1772060219.5527396,132,38,8,0,0,0,23.5583203125,141000,56.38561206050085,1008.6477972207537,38.387136064855426
1772060220.5635457,132,38,8,0,0,0,23.5434765625,142597,56.363673514699215,1008.6189215698673,38.628436194448575
1772060221.5743196,132,38,8,0,0,0,23.528046875,143643,56.32840919282593,1008.581784748058,38.9387792372849
1772060222.5850868,144,42,14,0,0,0,23.513203125,144231,56.30647933545926,1008.5510752963871,39.19541735990999
1772060223.5969965,144,42,14,0,0,0,23.496796875,146144,56.27109275122521,1008.5105676492129,39.533948436030585
1772060224.6090999,144,42,14,0,0,0,23.4805859375,147120,56.24898214041484,1008.4703683883533,39.86991314629245
1772060225.621304,162,48,14,0,0,0,23.4637890625,149238,56.20693576072521,1008.4292475467754,40.21359117287388
1772060226.6334958,162,48,14,0,0,0,23.44640625,150000,56.17805478452815,1008.4055502715075,40.41165240945227
1772060227.6456568,162,48,14,0,0,0,23.43,150770,56.14269799181282,1008.3925626769473,40.52020400010571
1772060228.6577427,138,42,14,0,0,0,23.417890625,151158,56.10132818300536,1008.3790016555383,40.633549556783784
1772060229.6698697,138,42,14,0,0,0,23.406171875,151548,56.05340905222571,1008.3752274414246,40.66509536474401
1772060230.6817005,138,42,14,0,0,0,23.392890625,153796,56.03173581066579,1008.3634897077462,40.76320283490642
1772060231.6938531,150,46,14,0,0,0,23.3784375,154877,55.9900701507338,1008.351741005331,40.86140291101839
1772060232.7060223,150,46,14,0,0,0,23.36515625,155150,55.9485767153423,1008.3491739987048,40.88285904175062
